episode,timestep,reward
33,40000,2964.7064000000
71,80000,3045.0164000000
105,120000,2980.4026000000
140,160000,3114.2184000000
177,200000,2839.2929000000
214,240000,2909.4276000000
263,280000,2849.4060000000
310,320000,2890.8373000000
363,360000,2826.2105000000
410,400000,2853.1112000000
444,440000,3127.6468000000
494,480000,2875.1191000000
544,520000,2797.6184000000
602,560000,2972.9761000000
663,600000,2860.5688000000
722,640000,2901.8550000000
786,680000,2769.6113000000
845,720000,2919.5560000000
906,760000,2819.6049000000
972,800000,2938.3912000000
1038,840000,2854.8080000000
1105,880000,2859.6257000000
1174,920000,2797.3461000000
1239,960000,2916.7045000000
1306,1000000,2824.0383000000
1377,1040000,2943.1303000000
1451,1080000,2898.0960000000
1525,1120000,2915.2078000000
1601,1160000,2780.6873000000
1673,1200000,2896.0266000000
1745,1240000,2887.5090000000
1818,1280000,3027.9801000000
1895,1320000,2969.1392000000
1968,1360000,3134.3219000000
2044,1400000,3052.4396000000
2120,1440000,3131.2478000000
2172,1480000,3845.4022000000
2248,1520000,3213.9555000000
2329,1560000,3185.8907000000
2408,1600000,3188.1029000000
2488,1640000,3164.2913000000
2565,1680000,3244.2529000000
2641,1720000,3301.0474000000
2718,1760000,3433.4355000000
2793,1800000,4217.8418000000
2865,1840000,4770.0251000000
2942,1880000,3838.0020000000
3001,1920000,5447.1854000000
3071,1960000,4808.7288000000
3144,2000000,4641.0377000000
3179,2040000,13530.1706000000
3222,2080000,12242.9291000000
3252,2120000,12966.3486000000
3286,2160000,14318.2657000000
3335,2200000,12697.2571000000
3364,2240000,20880.7076000000
3390,2280000,16923.7717000000
3416,2320000,27576.9513000000
3436,2360000,30910.8708000000
3452,2400000,29292.9583000000
3467,2440000,27955.3990000000
3483,2480000,23117.9930000000
3514,2520000,29545.7865000000
3536,2560000,34345.4140000000
3546,2600000,44026.6491000000
3567,2640000,34625.7856000000
3589,2680000,32033.8299000000
3607,2720000,42398.5129000000
3626,2760000,38339.0712000000
3656,2800000,31420.2697000000
3679,2840000,35045.1804000000
3706,2880000,30108.4504000000
3724,2920000,36806.7145000000
3741,2960000,35600.4569000000
3754,3000000,43379.6650000000
3778,3040000,37402.6172000000
3807,3080000,33080.0680000000
3836,3120000,35673.7856000000
3867,3160000,30585.1726000000
3894,3200000,28276.5624000000
3910,3240000,31050.6654000000
3940,3280000,29666.9439000000
3957,3320000,26778.8818000000
3991,3360000,25256.1121000000
4014,3400000,30530.4316000000
4040,3440000,28664.4386000000
4058,3480000,25716.7615000000
4095,3520000,25044.0383000000
4129,3560000,26770.1258000000
4161,3600000,28564.4425000000
4190,3640000,23558.0987000000
4219,3680000,19037.5121000000
4239,3720000,34726.6452000000
4254,3760000,28369.1477000000
4274,3800000,32460.1009000000
4299,3840000,31897.0177000000
4334,3880000,21667.6875000000
4360,3920000,25535.7262000000
4384,3960000,30365.1774000000
4410,4000000,26169.3339000000
